Order ID,Order Date,Region,Category,Sales,Profit
CA-2013-158568,30-08-2013,Central,Office Supplies,64.624,22.6184
CA-2013-158568,30-08-2013,Central,Technology,95.976,-10.7973
CA-2013-158568,30-08-2013,Central,Office Supplies,1.788,-3.0396
CA-2013-129903,02-12-2013,Central,Office Supplies,23.92,11.7208
US-2012-156867,13-11-2012,West,Technology,238.896,-26.8758
US-2012-156867,13-11-2012,West,Furniture,102.36,-3.8385
US-2012-156867,13-11-2012,West,Office Supplies,36.882,-25.8174
CA-2014-119004,24-11-2014,South,Technology,74.112,17.6016
CA-2014-119004,24-11-2014,South,Technology,27.992,2.0994
CA-2014-119004,24-11-2014,South,Office Supplies,3.304,1.0738
CA-2012-129476,15-10-2012,Central,Technology,339.96,67.992
CA-2014-146780,26-12-2014,East,Furniture,41.96,10.9096
CA-2013-128867,04-11-2013,Central,Office Supplies,75.96,22.788
CA-2013-128867,04-11-2013,Central,Office Supplies,27.24,13.3476
CA-2011-115259,25-08-2011,East,Office Supplies,40.096,14.5348
CA-2011-115259,25-08-2011,East,Office Supplies,4.72,1.652
CA-2011-115259,25-08-2011,East,Office Supplies,23.976,7.4925
CA-2011-115259,25-08-2011,East,Office Supplies,130.464,44.0316
CA-2012-110457,02-03-2012,West,Furniture,787.53,165.3813
US-2012-136476,05-04-2012,South,Office Supplies,157.794,-115.7156
CA-2013-103730,13-06-2013,East,Furniture,47.04,18.3456
CA-2013-103730,13-06-2013,East,Office Supplies,30.84,13.878
CA-2013-103730,13-06-2013,East,Office Supplies,226.56,63.4368
CA-2013-103730,13-06-2013,East,Office Supplies,115.02,51.759
CA-2013-103730,13-06-2013,East,Technology,68.04,19.7316
US-2011-152030,26-12-2011,Central,Furniture,600.558,-8.5794
US-2011-134614,20-09-2011,Central,Furniture,617.7,-407.682
US-2014-107272,06-11-2014,West,Office Supplies,2.388,-1.8308
US-2014-107272,06-11-2014,West,Office Supplies,243.992,30.499
US-2013-125969,07-11-2013,West,Furniture,81.424,-9.1602
US-2013-125969,07-11-2013,West,Furniture,238.56,26.2416
US-2014-164147,03-02-2014,East,Technology,59.97,-11.994
US-2014-164147,03-02-2014,East,Office Supplies,78.304,29.364
US-2014-164147,03-02-2014,East,Office Supplies,21.456,6.9732
CA-2013-145583,14-10-2013,West,Office Supplies,20.04,9.6192
CA-2013-145583,14-10-2013,West,Office Supplies,35.44,16.6568
CA-2013-145583,14-10-2013,West,Office Supplies,11.52,3.456
CA-2013-145583,14-10-2013,West,Office Supplies,4.02,1.9698
CA-2013-145583,14-10-2013,West,Office Supplies,76.176,26.6616
CA-2013-145583,14-10-2013,West,Office Supplies,65.88,18.4464
CA-2013-145583,14-10-2013,West,Furniture,43.12,20.6976
CA-2013-110366,06-09-2013,East,Furniture,82.8,10.35
CA-2014-106180,19-09-2014,West,Office Supplies,8.82,2.3814
CA-2014-106180,19-09-2014,West,Office Supplies,10.86,5.1042
CA-2014-106180,19-09-2014,West,Office Supplies,143.7,68.976
CA-2014-155376,23-12-2014,Central,Office Supplies,839.43,218.2518
CA-2012-110744,07-09-2012,West,Office Supplies,671.93,20.1579
CA-2011-110072,22-10-2011,East,Furniture,93.888,12.9096
CA-2013-114489,06-12-2013,Central,Technology,384.45,103.8015
CA-2013-114489,06-12-2013,Central,Technology,149.97,5.9988
CA-2013-114489,06-12-2013,Central,Furniture,1951.84,585.552
CA-2013-114489,06-12-2013,Central,Office Supplies,171.55,80.6285
CA-2013-158834,14-03-2013,West,Office Supplies,157.92,17.766
CA-2013-158834,14-03-2013,West,Technology,203.184,15.2388
CA-2012-124919,31-05-2012,West,Office Supplies,58.38,26.271
CA-2012-124919,31-05-2012,West,Office Supplies,105.52,48.5392
CA-2012-124919,31-05-2012,West,Office Supplies,80.88,21.0288
CA-2012-118948,28-05-2012,West,Office Supplies,6.63,1.7901
CA-2011-104269,01-03-2011,West,Furniture,457.568,51.4764
CA-2013-114104,21-11-2013,Central,Office Supplies,14.62,6.8714
CA-2013-114104,21-11-2013,Central,Technology,944.93,236.2325
CA-2013-162733,12-05-2013,West,Office Supplies,5.98,2.691
CA-2012-119697,28-12-2012,East,Technology,54.384,1.3596
CA-2013-154508,17-11-2013,West,Office Supplies,28.4,13.348
CA-2013-113817,08-11-2013,West,Office Supplies,27.68,9.688
CA-2011-139892,08-09-2011,Central,Office Supplies,9.936,2.7324
CA-2011-139892,08-09-2011,Central,Technology,8159.952,-1359.992
CA-2011-139892,08-09-2011,Central,Office Supplies,275.928,-58.6347
CA-2011-139892,08-09-2011,Central,Furniture,1740.06,-24.858
CA-2011-139892,08-09-2011,Central,Office Supplies,32.064,6.8136
CA-2011-139892,08-09-2011,Central,Office Supplies,177.98,-453.849
CA-2011-139892,08-09-2011,Central,Technology,143.976,8.9985
CA-2011-118962,05-08-2011,West,Office Supplies,20.94,9.8418
CA-2011-118962,05-08-2011,West,Office Supplies,110.96,53.2608
CA-2011-118962,05-08-2011,West,Furniture,340.144,21.259
US-2011-100853,14-09-2011,Central,Office Supplies,52.448,-131.12
US-2011-100853,14-09-2011,Central,Office Supplies,20.16,6.552
US-2014-152366,22-04-2014,Central,Office Supplies,97.264,-243.16
US-2012-101511,21-11-2012,East,Furniture,396.802,-11.3372
US-2012-101511,21-11-2012,East,Office Supplies,15.88,-3.7715
CA-2012-137225,15-12-2012,East,Office Supplies,3.28,1.4104
CA-2011-166191,05-12-2011,Central,Office Supplies,24.816,1.8612
CA-2011-166191,05-12-2011,Central,Technology,408.744,76.6395
CA-2011-158274,19-11-2011,South,Technology,503.96,131.0296
CA-2011-158274,19-11-2011,South,Technology,149.95,41.986
CA-2011-158274,19-11-2011,South,Technology,29,7.25
CA-2013-105018,29-11-2013,East,Office Supplies,7.16,3.4368
CA-2011-123260,26-08-2011,West,Technology,176.8,22.984
CA-2013-157000,17-07-2013,Central,Office Supplies,37.224,3.7224
CA-2013-157000,17-07-2013,Central,Office Supplies,20.016,6.255
CA-2012-102281,12-10-2012,East,Furniture,899.136,112.392
CA-2012-102281,12-10-2012,East,Technology,71.76,20.0928
CA-2012-102281,12-10-2012,East,Office Supplies,51.84,24.8832
CA-2012-102281,12-10-2012,East,Furniture,626.352,46.9764
CA-2012-102281,12-10-2012,East,Office Supplies,19.9,6.567
CA-2012-131457,31-10-2012,West,Office Supplies,14.28,6.7116
CA-2011-140004,21-03-2011,East,Office Supplies,7.408,1.2038
CA-2011-140004,21-03-2011,East,Office Supplies,6.048,1.5876
CA-2014-107720,07-11-2014,East,Office Supplies,46.26,12.0276
US-2014-124303,07-07-2014,East,Office Supplies,2.946,-2.2586
US-2014-124303,07-07-2014,East,Office Supplies,16.056,5.8203
CA-2014-105074,25-06-2014,East,Office Supplies,21.744,6.795
CA-2011-133690,03-08-2011,West,Furniture,218.75,-161.875
CA-2011-133690,03-08-2011,West,Office Supplies,2.6,0.2925
US-2014-116701,18-12-2014,Central,Office Supplies,66.284,-178.9668
CA-2014-126382,04-06-2014,South,Furniture,35.168,9.6712
CA-2014-108329,10-12-2014,West,Technology,444.768,44.4768
CA-2014-135860,02-12-2014,Central,Office Supplies,83.92,5.8744
CA-2014-135860,02-12-2014,Central,Technology,131.98,35.6346
CA-2014-135860,02-12-2014,Central,Office Supplies,15.92,7.4824
CA-2014-135860,02-12-2014,Central,Office Supplies,52.29,16.2099
CA-2014-135860,02-12-2014,Central,Office Supplies,91.99,3.6796
CA-2012-101007,09-02-2012,Central,Technology,20.8,6.5
CA-2012-146262,02-01-2012,East,Office Supplies,23.68,8.88
CA-2012-146262,02-01-2012,East,Furniture,452.45,-244.323
CA-2012-146262,02-01-2012,East,Technology,62.982,-14.6958
CA-2012-146262,02-01-2012,East,Technology,1188,-950.4
CA-2012-146262,02-01-2012,East,Technology,89.584,4.4792
CA-2013-130162,29-10-2013,West,Office Supplies,93.06,26.0568
CA-2013-130162,29-10-2013,West,Technology,302.376,22.6782
CA-2012-169397,24-12-2012,East,Office Supplies,5.584,1.8148
CA-2012-169397,24-12-2012,East,Office Supplies,22.704,8.2302
CA-2012-169397,24-12-2012,East,Office Supplies,19.776,-13.8432
CA-2012-169397,24-12-2012,East,Furniture,72.704,19.0848
CA-2012-169397,24-12-2012,East,Technology,479.988,-383.9904
CA-2012-169397,24-12-2012,East,Office Supplies,27.168,2.7168
CA-2012-163055,09-08-2012,Central,Office Supplies,2.2,0.968
CA-2012-163055,09-08-2012,Central,Furniture,622.45,136.939
CA-2012-163055,09-08-2012,Central,Office Supplies,21.98,0.2198
US-2012-145436,28-02-2012,South,Furniture,161.568,-28.2744
US-2012-145436,28-02-2012,South,Furniture,389.696,43.8408
US-2011-156216,13-09-2011,South,Office Supplies,18.648,-12.432
US-2014-100930,08-04-2014,South,Furniture,233.86,-102.048
US-2014-100930,08-04-2014,South,Furniture,620.6145,-248.2458
US-2014-100930,08-04-2014,South,Office Supplies,5.328,-3.552
US-2014-100930,08-04-2014,South,Furniture,258.072,0
US-2014-100930,08-04-2014,South,Technology,617.976,-7.7247
CA-2014-160514,13-11-2014,West,Office Supplies,10.56,4.752
CA-2013-157749,05-06-2013,Central,Office Supplies,25.92,9.396
CA-2013-157749,05-06-2013,Central,Furniture,419.68,-356.728
CA-2013-157749,05-06-2013,Central,Furniture,11.688,-4.6752
CA-2013-157749,05-06-2013,Central,Technology,31.984,11.1944
CA-2013-157749,05-06-2013,Central,Furniture,177.225,-120.513
CA-2013-157749,05-06-2013,Central,Furniture,4.044,-2.8308
CA-2013-157749,05-06-2013,Central,Office Supplies,7.408,1.2038
CA-2011-131926,01-06-2011,Central,Furniture,2001.86,580.5394
CA-2011-131926,01-06-2011,Central,Office Supplies,166.72,41.68
CA-2011-131926,01-06-2011,Central,Office Supplies,47.88,23.94
CA-2011-131926,01-06-2011,Central,Office Supplies,1503.25,496.0725
CA-2011-131926,01-06-2011,Central,Office Supplies,25.92,12.4416
CA-2013-154739,11-12-2013,West,Furniture,321.568,28.1372
CA-2013-145625,12-09-2013,West,Office Supplies,7.61,3.5767
CA-2013-145625,12-09-2013,West,Technology,3347.37,636.0003
CA-2013-146941,11-12-2013,East,Office Supplies,80.58,22.5624
CA-2013-146941,11-12-2013,East,Office Supplies,361.92,162.864
US-2012-159982,28-11-2012,Central,Furniture,12.132,-8.4924
US-2012-159982,28-11-2012,Central,Office Supplies,82.368,-19.5624
US-2012-159982,28-11-2012,Central,Office Supplies,53.92,4.044
US-2012-159982,28-11-2012,Central,Technology,647.904,56.6916
CA-2014-163139,02-12-2014,East,Technology,20.37,6.9258
CA-2014-163139,02-12-2014,East,Office Supplies,221.55,6.6465
CA-2014-163139,02-12-2014,East,Office Supplies,17.52,6.132
US-2014-155299,09-06-2014,Central,Office Supplies,1.624,-4.466
US-2011-106992,19-09-2011,Central,Technology,3059.982,-509.997
US-2011-106992,19-09-2011,Central,Technology,2519.958,-251.9958
CA-2013-125318,07-06-2013,Central,Technology,328.224,28.7196
CA-2012-155040,10-11-2012,West,Technology,79.9,35.156
CA-2014-136826,17-06-2014,South,Office Supplies,14.016,4.7304
CA-2013-111010,22-01-2013,East,Office Supplies,7.56,0.3024
US-2014-145366,10-12-2014,East,Office Supplies,37.208,-7.4416
US-2014-145366,10-12-2014,East,Office Supplies,57.576,21.591
CA-2014-163979,29-12-2014,West,Office Supplies,725.84,210.4936
CA-2012-155334,30-07-2012,West,Technology,209.93,92.3692
CA-2012-155334,30-07-2012,West,Furniture,5.28,2.3232
CA-2012-155334,30-07-2012,West,Office Supplies,10.92,4.095
CA-2014-118136,17-09-2014,West,Office Supplies,8.82,4.0572
CA-2014-118136,17-09-2014,West,Office Supplies,5.98,1.5548
CA-2014-132976,14-10-2014,East,Office Supplies,11.648,4.0768
CA-2014-132976,14-10-2014,East,Office Supplies,18.176,5.9072
CA-2014-132976,14-10-2014,East,Office Supplies,59.712,5.9712
CA-2014-132976,14-10-2014,East,Office Supplies,24.84,8.694
US-2012-161991,26-09-2012,Central,Office Supplies,2.08,-3.432
US-2012-161991,26-09-2012,Central,Technology,1114.4,376.11
CA-2012-130890,02-11-2012,West,Furniture,1038.84,51.942
CA-2012-130883,26-09-2012,West,Office Supplies,141.76,47.844
CA-2012-130883,26-09-2012,West,Technology,239.8,47.96
CA-2012-130883,26-09-2012,West,Office Supplies,31.104,10.8864
CA-2013-112697,19-12-2013,South,Office Supplies,254.058,-169.372
CA-2013-112697,19-12-2013,South,Office Supplies,194.528,24.316
CA-2013-112697,19-12-2013,South,Office Supplies,961.48,-204.3145
CA-2013-110772,21-11-2013,East,Office Supplies,19.096,6.6836
CA-2013-110772,21-11-2013,East,Office Supplies,18.496,6.2424
CA-2013-110772,21-11-2013,East,Technology,255.984,54.3966
CA-2013-110772,21-11-2013,East,Furniture,86.97,-48.7032
CA-2011-111451,26-12-2011,West,Furniture,300.416,78.8592
CA-2011-111451,26-12-2011,West,Furniture,230.352,20.1558
CA-2011-111451,26-12-2011,West,Furniture,218.352,-24.5646
CA-2011-111451,26-12-2011,West,Office Supplies,78.6,-62.88
CA-2011-111451,26-12-2011,West,Office Supplies,27.552,9.2988
CA-2013-142545,29-10-2013,East,Office Supplies,32.4,15.552
CA-2013-142545,29-10-2013,East,Office Supplies,1082.48,10.8248
CA-2013-142545,29-10-2013,East,Office Supplies,56.91,27.3168
CA-2013-142545,29-10-2013,East,Furniture,77.6,38.024
CA-2013-142545,29-10-2013,East,Office Supplies,14.28,6.5688
US-2014-152380,20-11-2014,Central,Furniture,219.075,-131.445
CA-2012-144253,04-05-2012,East,Furniture,26.8,12.864
CA-2011-130960,30-12-2011,Central,Office Supplies,9.84,2.8536
CA-2011-111003,01-06-2011,East,Office Supplies,45.48,20.9208
CA-2011-111003,01-06-2011,East,Office Supplies,289.2,83.868
CA-2014-126774,16-04-2014,South,Office Supplies,4.89,2.0049
CA-2013-142902,13-09-2013,West,Furniture,15.136,3.5948
CA-2013-142902,13-09-2013,West,Furniture,466.768,52.5114
CA-2013-142902,13-09-2013,West,Furniture,15.232,1.7136
CA-2013-142902,13-09-2013,West,Office Supplies,6.264,2.0358
CA-2011-120887,27-09-2011,East,Furniture,87.54,37.6422
CA-2011-167850,09-08-2011,South,Technology,178.384,22.298
CA-2011-167850,09-08-2011,South,Office Supplies,15.552,5.4432
CA-2011-164259,28-12-2011,East,Office Supplies,99.136,8.6744
CA-2011-164973,04-11-2011,East,Furniture,135.882,24.1568
CA-2011-164973,04-11-2011,East,Technology,3991.98,1995.99
CA-2011-164973,04-11-2011,East,Technology,275.94,80.0226
CA-2011-164973,04-11-2011,East,Technology,360,129.6
CA-2011-164973,04-11-2011,East,Office Supplies,43.57,13.071
CA-2011-156601,19-09-2011,West,Office Supplies,7.16,3.58
CA-2013-162138,24-04-2013,West,Office Supplies,251.52,81.744
CA-2013-162138,24-04-2013,West,Technology,99.99,34.9965
CA-2014-153339,04-11-2014,South,Furniture,15.992,0.9995
US-2013-141544,31-08-2013,East,Technology,290.898,-67.8762
US-2013-141544,31-08-2013,East,Office Supplies,54.224,3.389
US-2013-141544,31-08-2013,East,Furniture,786.744,-258.5016
US-2013-141544,31-08-2013,East,Office Supplies,100.24,33.831
US-2013-141544,31-08-2013,East,Office Supplies,37.764,-27.6936
US-2013-150147,26-04-2013,East,Technology,82.8,-20.7
US-2013-150147,26-04-2013,East,Office Supplies,20.724,-13.816
US-2013-150147,26-04-2013,East,Office Supplies,4.896,-3.4272
CA-2012-137946,01-09-2012,West,Office Supplies,4.752,1.6038
CA-2012-137946,01-09-2012,West,Technology,959.984,335.9944
CA-2012-137946,01-09-2012,West,Office Supplies,14.368,4.49
CA-2011-129924,12-07-2011,West,Office Supplies,7.712,2.7956
CA-2011-129924,12-07-2011,West,Furniture,698.352,-17.4588
CA-2012-128167,22-06-2012,West,Office Supplies,4.96,2.3312
CA-2011-122336,13-04-2011,East,Office Supplies,17.856,1.116
CA-2011-122336,13-04-2011,East,Office Supplies,509.97,-407.976
CA-2011-122336,13-04-2011,East,Office Supplies,30.992,10.0724
CA-2011-122336,13-04-2011,East,Technology,71.928,8.3916
US-2012-120712,20-12-2012,Central,Office Supplies,88.8,-2.22
CA-2014-169901,16-06-2014,West,Technology,47.976,4.7976
CA-2014-134306,09-07-2014,East,Office Supplies,7.56,3.0996
CA-2014-134306,09-07-2014,East,Office Supplies,24.56,11.5432
CA-2014-134306,09-07-2014,East,Office Supplies,12.96,4.1472
CA-2013-129714,02-09-2013,East,Technology,6.79,2.3086
CA-2013-129714,02-09-2013,East,Office Supplies,24.56,11.5432
CA-2013-129714,02-09-2013,East,Office Supplies,3.048,1.0668
CA-2013-129714,02-09-2013,East,Office Supplies,49.12,23.0864
CA-2013-129714,02-09-2013,East,Office Supplies,4355.168,1415.4296
CA-2013-138520,09-04-2013,East,Furniture,388.704,-4.8588
CA-2013-138520,09-04-2013,East,Office Supplies,8.26,3.7996
CA-2013-138520,09-04-2013,East,Office Supplies,17.04,6.9864
CA-2013-138520,09-04-2013,East,Office Supplies,34.4,15.824
CA-2013-130001,24-04-2013,South,Office Supplies,36.24,11.325
CA-2014-155698,09-03-2014,South,Office Supplies,647.84,168.4384
CA-2014-155698,09-03-2014,South,Office Supplies,20.7,9.936
CA-2014-144904,26-09-2014,East,Office Supplies,20.7,9.936
CA-2014-144904,26-09-2014,East,Furniture,488.646,86.8704
CA-2014-144904,26-09-2014,East,Office Supplies,5.56,1.4456
CA-2014-144904,26-09-2014,East,Furniture,47.12,20.7328
CA-2011-123344,24-09-2011,West,Office Supplies,211.96,8.4784
CA-2013-155516,22-10-2013,East,Office Supplies,23.2,10.44
CA-2013-155516,22-10-2013,East,Office Supplies,7.36,0.1472
CA-2013-155516,22-10-2013,East,Office Supplies,104.79,29.3412
CA-2013-155516,22-10-2013,East,Furniture,1043.92,271.4192
CA-2014-104745,30-05-2014,Central,Office Supplies,25.92,9.396
CA-2014-104745,30-05-2014,Central,Office Supplies,53.424,4.6746
US-2011-119137,23-07-2011,West,Office Supplies,8.16,-5.712
US-2011-119137,23-07-2011,West,Technology,1023.936,179.1888
US-2011-119137,23-07-2011,West,Office Supplies,9.24,0.924
US-2011-119137,23-07-2011,West,Technology,479.04,-29.94
US-2013-134656,29-09-2013,Central,Office Supplies,99.136,30.98
US-2014-134481,28-08-2014,East,Furniture,1488.424,-297.6848
CA-2012-130792,28-04-2012,Central,Office Supplies,8.652,-20.3322
CA-2012-130792,28-04-2012,Central,Office Supplies,23.832,2.6811
CA-2012-130792,28-04-2012,Central,Office Supplies,12.176,-18.8728
CA-2013-134775,29-10-2013,West,Office Supplies,50.96,25.48
CA-2013-134775,29-10-2013,West,Office Supplies,49.536,17.3376
CA-2012-125395,26-06-2012,Central,Technology,41.9,8.799
US-2012-168935,27-11-2012,South,Furniture,375.4575,-157.0095
US-2012-168935,27-11-2012,South,Technology,83.976,-1.0497
CA-2012-122756,03-12-2012,East,Technology,482.34,-337.638
CA-2012-122756,03-12-2012,East,Furniture,2.96,0.777
CA-2011-115973,24-11-2011,East,Office Supplies,2.624,0.4264
CA-2014-101798,12-12-2014,East,Office Supplies,23.36,7.884
CA-2014-101798,12-12-2014,East,Technology,39.98,13.5932
US-2011-135972,21-09-2011,West,Technology,246.384,27.7182
US-2011-135972,21-09-2011,West,Technology,1799.97,701.9883
US-2011-134971,07-06-2011,Central,Office Supplies,12.462,-20.5623
CA-2014-102946,01-07-2014,West,Office Supplies,75.792,25.5798
CA-2014-165603,18-10-2014,East,Office Supplies,49.96,9.4924
CA-2014-165603,18-10-2014,East,Office Supplies,12.96,6.2208
CA-2012-122259,31-10-2012,Central,Office Supplies,70.12,21.036
CA-2013-108987,09-09-2013,Central,Office Supplies,35.952,3.5952
CA-2013-108987,09-09-2013,Central,Furniture,2396.2656,-317.1528
CA-2013-108987,09-09-2013,Central,Office Supplies,131.136,-32.784
CA-2013-108987,09-09-2013,Central,Technology,57.584,0.7198
CA-2011-113166,24-12-2011,South,Office Supplies,9.568,3.4684
CA-2011-155208,16-04-2011,South,Office Supplies,39.072,9.768
CA-2014-117933,25-12-2014,East,Office Supplies,35.91,9.6957
CA-2014-117457,09-12-2014,West,Technology,179.95,37.7895
CA-2014-117457,09-12-2014,West,Technology,1199.976,434.9913
CA-2014-117457,09-12-2014,West,Office Supplies,27.15,13.3035
CA-2014-117457,09-12-2014,West,Furniture,1004.024,-112.9527
CA-2014-117457,09-12-2014,West,Office Supplies,9.68,4.6464
CA-2014-117457,09-12-2014,West,Office Supplies,28.35,13.608
CA-2014-117457,09-12-2014,West,Office Supplies,55.98,27.4302
CA-2014-117457,09-12-2014,West,Furniture,1336.829,31.4548
CA-2014-117457,09-12-2014,West,Furniture,113.568,-18.4548
CA-2014-142636,04-11-2014,West,Office Supplies,139.86,65.7342
CA-2014-142636,04-11-2014,West,Furniture,307.136,26.8744
CA-2014-122105,25-06-2014,West,Office Supplies,95.92,25.8984
CA-2013-148796,15-04-2013,West,Furniture,383.8,38.38
CA-2014-154816,07-11-2014,South,Office Supplies,5.78,2.8322
CA-2014-110478,05-03-2014,West,Office Supplies,9.32,2.7028
CA-2014-110478,05-03-2014,West,Office Supplies,15.25,7.015
CA-2011-142048,22-06-2011,West,Technology,196.752,56.5662
